Objra,Objdec,mangaid,plateifu
282.37537,-24.109407,  3-95263746 ,   9073-9102 
135.412695933,27.6091527296,    1-386274 ,  9506-12703 
191.674632081,43.309041216,    1-259195 ,   8317-6101 
82.720933,1.0867606,  3-49017355 ,  8902-12704 
244.9458,52.517314, 3-157355218 ,   8920-6101 
44.634543,35.697246,  3-48989167 ,   9521-6103 
242.065591427,42.7070243134,    1-210098 ,  8979-12703 
51.3177727742,-0.40903918768,     1-38353 ,   8085-9101 
225.09604,22.689205,  7-11774432 ,   8915-6102 
62.4258562524,-6.31556310132,     1-52588 ,  8158-12704 
102.14529,-0.33011436, 3-145012158 ,  8803-12703 
322.91046,6.2316075,  3-98739640 ,   9119-3704 
190.86799,12.256245, 3-112797967 ,  8918-12701 
332.238573881,11.8776065621,    1-114973 ,  7977-12702 
118.318165157,35.5725757854,    1-121735 ,   8717-3703 
131.89493,13.150947, 3-137025941 ,   8974-6103 
194.790172367,27.867392873,    1-456914 ,  8933-12705 
152.458553899,45.8509105794,    1-167356 ,   8454-6103 
78.595694,24.468402,  3-16103874 ,   9671-9102 
176.18611,1.12443,     4-19466 ,   8270-9102 
247.856495063,46.3241798011,     1-94168 ,   8484-6102 
122.247464028,36.6875143484,    1-605037 ,   9485-3704 
234.60459264,48.0559143122,    1-209151 ,  8485-12702 
84.724451,-12.775642,  53-1343352 ,   9676-3704 
131.883825158,53.9052505941,     1-47248 ,   8243-6104 
255.72003,-21.831972, 3-125825167 ,   8557-3704 
243.407714996,49.0694089344,     1-92774 ,   8482-3701 
205.355710988,23.2474871744,    1-568583 ,   9881-3704 
283.70883,-9.8999812,  7-16971968 ,   9800-3701 
258.548475763,57.9760977732,     1-24092 ,   7991-1901 
243.425164664,48.8992232706,     1-92771 ,   8482-6101 
53.7267334058,-0.788922235044,     1-38528 ,   8155-1902 
225.11816,67.11471,     4-16917 ,   8112-9101 
166.68762,12.278087, 3-113585009 ,   9672-6104 
305.51814,60.170526,  3-10882374 ,  8696-12704 
127.003330613,20.1668620446,    1-412736 ,  9488-12705 
126.384623178,27.6087093682,    1-230291 ,   9510-3704 
153.378123617,43.9979617648,    1-221753 ,   8454-6101 
240.418740846,46.085291751,    1-134293 ,   8549-6103 
276.85668,3.4917098,  7-16142991 ,  9802-12705 
349.20775,41.493726,  7-22743112 ,   8687-3704 
112.557747581,40.8856710657,    1-338389 ,   8131-1901 
125.8514,0.709059,   7-4335204 ,   8794-6103 
138.3433,22.662583, 3-139927714 ,   8813-9101 
297.35469,46.969351,  7-18060408 ,   9023-9102 
116.854914291,43.9186203408,    1-338746 ,   8137-3703 
218.662631073,47.9683332314,    1-321170 ,   9868-6103 
119.704813211,37.4054606321,     1-71790 ,   9181-6102 
242.751057523,26.642849101,    1-265769 ,   9088-6102 
85.918374,-3.4108628,  3-52009238 ,   8895-1902 
291.59568,28.991509,  3-22411305 ,  9306-12701 
66.194996,40.634536,  7-25725707 ,   8704-3703 
62.975538,22.895356,  3-40428287 ,  8779-12702 
226.81197,37.479508, 3-148921680 ,   9772-6104 
256.77565585,35.6399780306,    1-547135 ,   7957-1902 
247.135764945,24.721865161,    1-295506 ,   9049-6101 
288.08233,-1.0439042,  7-17297742 ,   9977-6103 
216.10992,50.635568,  7-11017374 ,   9063-9101 
81.729027,11.613384,  7-26856990 ,   8886-3701 
322.45106,11.988712,  3-94199072 ,  9305-12702 
71.75139,32.249444,  3-15068638 ,   8666-3701 
37.426778,62.140974,  7-23270175 ,   9245-3704 
27.6536619348,13.1102002694,     1-42704 ,   9195-6102 
199.377441982,31.0926945393,    1-591588 ,  8442-12705 
279.26622,3.3288624,  3-47457931 ,  8708-12705 
289.12318,46.144853,  7-17397000 ,   9803-3703 
